Date;Time;Turbidity
2017-05-27;15:20:00;338
2017-05-27;15:25:00;338
2017-05-27;15:30:00;0
2017-05-27;15:35:00;0
2017-05-27;15:40:00;0
2017-05-27;15:45:00;0
2017-05-27;15:50:00;0
2017-05-27;15:55:00;0
2017-05-27;16:00:00;0
2017-05-27;16:05:00;0
2017-05-27;16:10:00;0
2017-05-27;16:15:00;0
2017-05-27;16:20:00;0
2017-05-27;16:25:00;0
2017-05-27;16:30:00;0
2017-05-27;16:35:00;0
2017-05-27;16:40:00;0
2017-05-27;16:45:00;0
2017-05-27;16:50:00;0
2017-05-27;16:55:00;13
2017-05-27;17:00:00;6
2017-05-27;17:05:00;4
2017-05-27;17:10:00;4
2017-05-27;17:15:00;4
2017-05-27;17:20:00;4
2017-05-27;17:25:00;4
2017-05-27;17:30:00;3
2017-05-27;17:35:00;3
2017-05-27;17:40:00;4
2017-05-27;17:45:00;4
2017-05-27;17:50:00;3
2017-05-27;17:55:00;3
2017-05-27;18:00:00;3
2017-05-27;18:05:00;4
2017-05-27;18:10:00;3
2017-05-27;18:15:00;3
2017-05-27;18:20:00;3
2017-05-27;18:25:00;3
2017-05-27;18:30:00;3
2017-05-27;18:35:00;3
2017-05-27;18:40:00;3
2017-05-27;18:45:00;4
2017-05-27;18:50:00;3
2017-05-27;18:55:00;3
2017-05-27;19:00:00;3
2017-05-27;19:05:00;3
2017-05-27;19:10:00;3
2017-05-27;19:15:00;3
2017-05-27;19:20:00;3
2017-05-27;19:25:00;3
2017-05-27;19:30:00;3
2017-05-27;19:35:00;3
2017-05-27;19:40:00;3
2017-05-27;19:45:00;3
2017-05-27;19:50:00;3
2017-05-27;19:55:00;3
2017-05-27;20:00:00;3
2017-05-27;20:05:00;3
2017-05-27;20:10:00;3
2017-05-27;20:15:00;3
2017-05-27;20:20:00;4
2017-05-27;20:25:00;3
2017-05-27;20:30:00;3
2017-05-27;20:35:00;3
2017-05-27;20:40:00;3
2017-05-27;20:45:00;3
2017-05-27;20:50:00;3
2017-05-27;20:55:00;3
2017-05-27;21:00:00;4
2017-05-27;21:05:00;4
2017-05-27;21:10:00;5
2017-05-27;21:15:00;3
2017-05-27;21:20:00;3
2017-05-27;21:25:00;4
2017-05-27;21:30:00;3
2017-05-27;21:35:00;3
2017-05-27;21:40:00;3
2017-05-27;21:45:00;3
2017-05-27;21:50:00;3
2017-05-27;21:55:00;3
2017-05-27;22:00:00;3
2017-05-27;22:05:00;3
2017-05-27;22:10:00;3
2017-05-27;22:15:00;3
2017-05-27;22:20:00;3
2017-05-27;22:25:00;4
2017-05-27;22:30:00;4
2017-05-27;22:35:00;4
2017-05-27;22:40:00;4
2017-05-27;22:45:00;4
2017-05-27;22:50:00;4
2017-05-27;22:55:00;4
2017-05-27;23:00:00;4
2017-05-27;23:05:00;4
2017-05-27;23:10:00;4
2017-05-27;23:15:00;4
2017-05-27;23:20:00;5
2017-05-27;23:25:00;4
2017-05-27;23:30:00;4
2017-05-27;23:35:00;4
2017-05-27;23:40:00;4
2017-05-27;23:45:00;4
2017-05-27;23:50:00;4
2017-05-27;23:55:00;4
2017-05-28;0:00:00;4
2017-05-28;0:05:00;4
2017-05-28;0:10:00;3
2017-05-28;0:15:00;4
2017-05-28;0:20:00;4
2017-05-28;0:25:00;4
2017-05-28;0:30:00;4
2017-05-28;0:35:00;3
2017-05-28;0:40:00;3
2017-05-28;0:45:00;4
