Date;Time;LEVEL
2017-05-27;15:00:00;10.129
2017-05-27;15:10:00;10.129
2017-05-27;15:20:00;10.131
2017-05-27;15:30:00;10.167
2017-05-27;15:40:00;10.201
2017-05-27;15:50:00;10.203
2017-05-27;16:00:00;10.203
2017-05-27;16:10:00;10.2
2017-05-27;16:20:00;10.203
2017-05-27;16:30:00;10.205
2017-05-27;16:40:00;10.206
2017-05-27;16:50:00;10.206
2017-05-27;17:00:00;10.207
2017-05-27;17:10:00;10.207
2017-05-27;17:20:00;10.206
2017-05-27;17:30:00;10.205
2017-05-27;17:40:00;10.205
2017-05-27;17:50:00;10.201
2017-05-27;18:00:00;10.797
2017-05-27;18:10:00;10.791
2017-05-27;18:20:00;10.791
2017-05-27;18:30:00;10.791
2017-05-27;18:40:00;10.788
2017-05-27;18:50:00;10.788
2017-05-27;19:00:00;10.791
2017-05-27;19:10:00;10.789
2017-05-27;19:20:00;10.789
2017-05-27;19:30:00;10.792
2017-05-27;19:40:00;10.789
2017-05-27;19:50:00;10.788
2017-05-27;20:00:00;10.789
2017-05-27;20:10:00;10.789
2017-05-27;20:20:00;10.791
2017-05-27;20:30:00;10.788
2017-05-27;20:40:00;10.789
2017-05-27;20:50:00;10.789
2017-05-27;21:00:00;10.786
2017-05-27;21:10:00;10.788
2017-05-27;21:20:00;10.789
2017-05-27;21:30:00;10.785
2017-05-27;21:40:00;10.786
2017-05-27;21:50:00;10.785
2017-05-27;22:00:00;10.785
2017-05-27;22:10:00;10.785
2017-05-27;22:20:00;10.786
2017-05-27;22:30:00;10.785
2017-05-27;22:40:00;10.782
2017-05-27;22:50:00;10.783
2017-05-27;23:00:00;10.782
2017-05-27;23:10:00;10.785
2017-05-27;23:20:00;10.785
2017-05-27;23:30:00;10.785
2017-05-27;23:40:00;10.785
2017-05-27;23:50:00;10.785
2017-05-28;0:00:00;10.783
2017-05-28;0:10:00;10.785
2017-05-28;0:20:00;10.783
2017-05-28;0:30:00;10.785
2017-05-28;0:40:00;10.782
2017-05-28;0:50:00;10.782
2017-05-28;1:00:00;10.78
2017-05-28;1:10:00;10.782
2017-05-28;1:20:00;10.782
2017-05-28;1:30:00;10.782
2017-05-28;1:40:00;10.78
2017-05-28;1:50:00;10.778
2017-05-28;2:00:00;10.778
2017-05-28;2:10:00;10.779
2017-05-28;2:20:00;10.778
2017-05-28;2:30:00;10.779
2017-05-28;2:40:00;10.778
2017-05-28;2:50:00;10.776
2017-05-28;3:00:00;10.778
2017-05-28;3:10:00;10.778
2017-05-28;3:20:00;10.779
2017-05-28;3:30:00;10.778
2017-05-28;3:40:00;10.774
2017-05-28;3:50:00;10.776
2017-05-28;4:00:00;10.779
2017-05-28;4:10:00;10.78
2017-05-28;4:20:00;10.779
2017-05-28;4:30:00;10.779
2017-05-28;4:40:00;10.778
2017-05-28;4:50:00;10.779
2017-05-28;5:00:00;10.78
2017-05-28;5:10:00;10.779
2017-05-28;5:20:00;10.78
2017-05-28;5:30:00;10.78
2017-05-28;5:40:00;10.779
2017-05-28;5:50:00;10.78
2017-05-28;6:00:00;10.779
2017-05-28;6:10:00;10.779
2017-05-28;6:20:00;10.779
2017-05-28;6:30:00;10.782
2017-05-28;6:40:00;10.783
2017-05-28;6:50:00;10.78
2017-05-28;7:00:00;10.782
2017-05-28;7:10:00;10.782
2017-05-28;7:20:00;10.782
2017-05-28;7:30:00;10.782
2017-05-28;7:40:00;10.782
2017-05-28;7:50:00;10.783
2017-05-28;8:00:00;10.785
2017-05-28;8:10:00;10.785
2017-05-28;8:20:00;10.785
2017-05-28;8:30:00;10.786
2017-05-28;8:40:00;10.785
2017-05-28;8:50:00;10.786
2017-05-28;9:00:00;10.786
2017-05-28;9:10:00;10.788
2017-05-28;9:20:00;10.788
2017-05-28;9:30:00;10.789
2017-05-28;9:40:00;10.791
2017-05-28;9:50:00;10.792
2017-05-28;10:00:00;10.791
2017-05-28;10:10:00;10.792
2017-05-28;10:20:00;10.794
2017-05-28;10:30:00;10.794
2017-05-28;10:40:00;10.797
2017-05-28;10:50:00;10.794
2017-05-28;11:00:00;10.797
2017-05-28;11:10:00;10.795
2017-05-28;11:20:00;10.799
2017-05-28;11:30:00;10.799
2017-05-28;11:40:00;10.797
2017-05-28;11:50:00;10.799
2017-05-28;12:00:00;10.8
2017-05-28;12:10:00;10.799
2017-05-28;12:20:00;10.8
2017-05-28;12:30:00;10.803
2017-05-28;12:40:00;10.801
2017-05-28;12:50:00;10.8
2017-05-28;13:00:00;10.803
2017-05-28;13:10:00;10.803
2017-05-28;13:20:00;10.803
2017-05-28;13:30:00;10.803
2017-05-28;13:40:00;10.803
2017-05-28;13:50:00;10.801
2017-05-28;14:00:00;10.799
2017-05-28;14:10:00;10.799
2017-05-28;14:20:00;10.8
2017-05-28;14:30:00;10.8
2017-05-28;14:40:00;10.8
2017-05-28;14:50:00;10.801
2017-05-28;15:00:00;10.8
2017-05-28;15:10:00;10.803
2017-05-28;15:20:00;10.8
2017-05-28;15:30:00;10.797
2017-05-28;15:40:00;10.794
2017-05-28;15:50:00;10.795
2017-05-28;16:00:00;10.795
2017-05-28;16:10:00;10.792
2017-05-28;16:20:00;10.792
2017-05-28;16:30:00;10.791
2017-05-28;16:40:00;10.788
2017-05-28;16:50:00;10.788
2017-05-28;17:00:00;10.788
2017-05-28;17:10:00;10.785
2017-05-28;17:20:00;10.782
2017-05-28;17:30:00;10.783
2017-05-28;17:40:00;10.782
2017-05-28;17:50:00;10.778
2017-05-28;18:00:00;10.779
2017-05-28;18:10:00;10.779
2017-05-28;18:20:00;10.778
2017-05-28;18:30:00;10.776
2017-05-28;18:40:00;10.774
2017-05-28;18:50:00;10.774
2017-05-28;19:00:00;10.771
2017-05-28;19:10:00;10.77
2017-05-28;19:20:00;10.77
2017-05-28;19:30:00;10.768
2017-05-28;19:40:00;10.768
2017-05-28;19:50:00;10.767
2017-05-28;20:00:00;10.766
2017-05-28;20:10:00;10.764
2017-05-28;20:20:00;10.764
2017-05-28;20:30:00;10.762
2017-05-28;20:40:00;10.761
2017-05-28;20:50:00;10.759
2017-05-28;21:00:00;10.759
2017-05-28;21:10:00;10.758
2017-05-28;21:20:00;10.755
2017-05-28;21:30:00;10.753
2017-05-28;21:40:00;10.752
2017-05-28;21:50:00;10.75
2017-05-28;22:00:00;10.749
2017-05-28;22:10:00;10.747
2017-05-28;22:20:00;10.746
2017-05-28;22:30:00;10.745
2017-05-28;22:40:00;10.743
2017-05-28;22:50:00;10.741
2017-05-28;23:00:00;10.741
2017-05-28;23:10:00;10.741
2017-05-28;23:20:00;10.74
2017-05-28;23:30:00;10.737
2017-05-28;23:40:00;10.735
2017-05-28;23:50:00;10.733
2017-05-29;0:00:00;10.733
2017-05-29;0:10:00;10.731
2017-05-29;0:20:00;10.728
2017-05-29;0:30:00;10.725
2017-05-29;0:40:00;10.725
2017-05-29;0:50:00;10.722
2017-05-29;1:00:00;10.722
2017-05-29;1:10:00;10.719
2017-05-29;1:20:00;10.719
2017-05-29;1:30:00;10.719
2017-05-29;1:40:00;10.714
2017-05-29;1:50:00;10.714
2017-05-29;2:00:00;10.713
2017-05-29;2:10:00;10.712
2017-05-29;2:20:00;10.712
2017-05-29;2:30:00;10.71
2017-05-29;2:40:00;10.707
2017-05-29;2:50:00;10.708
2017-05-29;3:00:00;10.71
2017-05-29;3:10:00;10.707
2017-05-29;3:20:00;10.705
2017-05-29;3:30:00;10.705
2017-05-29;3:40:00;10.702
2017-05-29;3:50:00;10.702
2017-05-29;4:00:00;10.702
2017-05-29;4:10:00;10.701
2017-05-29;4:20:00;10.7
2017-05-29;4:30:00;10.698
2017-05-29;4:40:00;10.696
2017-05-29;4:50:00;10.696
2017-05-29;5:00:00;10.693
2017-05-29;5:10:00;10.69
2017-05-29;5:20:00;10.692
2017-05-29;5:30:00;10.692
2017-05-29;5:40:00;10.689
2017-05-29;5:50:00;10.689
2017-05-29;6:00:00;10.689
2017-05-29;6:10:00;10.686
2017-05-29;6:20:00;10.686
2017-05-29;6:30:00;10.684
2017-05-29;6:40:00;10.683
2017-05-29;6:50:00;10.683
2017-05-29;7:00:00;10.681
2017-05-29;7:10:00;10.68
2017-05-29;7:20:00;10.679
2017-05-29;7:30:00;10.679
2017-05-29;7:40:00;10.675
2017-05-29;7:50:00;10.677
2017-05-29;8:00:00;10.674
2017-05-29;8:10:00;10.671
2017-05-29;8:20:00;10.669
2017-05-29;8:30:00;10.669
2017-05-29;8:40:00;10.668
2017-05-29;8:50:00;10.667
2017-05-29;9:00:00;10.662
2017-05-29;9:10:00;10.663
2017-05-29;9:20:00;10.659
2017-05-29;9:30:00;10.659
2017-05-29;9:40:00;10.662
2017-05-29;9:50:00;10.659
2017-05-29;10:00:00;10.657
2017-05-29;10:10:00;10.657
2017-05-29;10:20:00;10.655
2017-05-29;10:30:00;10.655
2017-05-29;10:40:00;10.653
2017-05-29;10:50:00;10.651
2017-05-29;11:00:00;10.653
2017-05-29;11:10:00;10.651
2017-05-29;11:20:00;10.651
2017-05-29;11:30:00;10.653
2017-05-29;11:40:00;10.653
2017-05-29;11:50:00;10.653
2017-05-29;12:00:00;10.65
2017-05-29;12:10:00;10.663
2017-05-29;12:20:00;10.668
2017-05-29;12:30:00;10.668
2017-05-29;12:40:00;10.669
2017-05-29;12:50:00;10.669
2017-05-29;13:00:00;10.665
2017-05-29;13:10:00;10.66
2017-05-29;13:20:00;10.656
2017-05-29;13:30:00;10.653
2017-05-29;13:40:00;10.648
2017-05-29;13:50:00;10.647
2017-05-29;14:00:00;10.647
2017-05-29;14:10:00;10.644
2017-05-29;14:20:00;10.642
2017-05-29;14:30:00;10.642
2017-05-29;14:40:00;10.642
2017-05-29;14:50:00;10.642
2017-05-29;15:00:00;10.642
2017-05-29;15:10:00;10.641
2017-05-29;15:20:00;10.642
2017-05-29;15:30:00;10.641
2017-05-29;15:40:00;10.644
2017-05-29;15:50:00;10.644
2017-05-29;16:00:00;10.646
2017-05-29;16:10:00;10.644
2017-05-29;16:20:00;10.655
2017-05-29;16:30:00;10.65
2017-05-29;16:40:00;10.647
2017-05-29;16:50:00;10.647
2017-05-29;17:00:00;10.646
2017-05-29;17:10:00;10.642
2017-05-29;17:20:00;10.642
2017-05-29;17:30:00;10.642
2017-05-29;17:40:00;10.641
2017-05-29;17:50:00;10.644
2017-05-29;18:00:00;10.644
2017-05-29;18:10:00;10.644
2017-05-29;18:20:00;10.646
2017-05-29;18:30:00;10.644
2017-05-29;18:40:00;10.642
2017-05-29;18:50:00;10.644
2017-05-29;19:00:00;10.646
2017-05-29;19:10:00;10.646
2017-05-29;19:20:00;10.648
2017-05-29;19:30:00;10.647
2017-05-29;19:40:00;10.647
2017-05-29;19:50:00;10.647
2017-05-29;20:00:00;10.647
2017-05-29;20:10:00;10.648
2017-05-29;20:20:00;10.65
2017-05-29;20:30:00;10.65
2017-05-29;20:40:00;10.653
2017-05-29;20:50:00;10.65
2017-05-29;21:00:00;10.655
2017-05-29;21:10:00;10.655
2017-05-29;21:20:00;10.656
2017-05-29;21:30:00;10.656
2017-05-29;21:40:00;10.656
2017-05-29;21:50:00;10.659
