Date;Time;Turbidity
2015-06-01;0:14:10;4.379
2015-06-01;4:30:45;421.591
2015-06-01;4:32:45;474.23
2015-06-01;4:34:45;613.886
2015-06-01;4:36:45;523.638
2015-06-01;4:38:45;577.225
2015-06-01;4:40:45;446.067
2015-06-01;4:42:45;499.092
2015-06-01;4:44:45;508.608
2015-06-01;4:46:45;595.731
2015-06-01;4:48:45;611.708
2015-06-01;4:50:45;427.631
2015-06-01;4:52:45;500.075
2015-06-01;4:54:45;513.735
2015-06-01;4:56:45;521.215
2015-06-01;4:58:45;601.63
2015-06-01;5:00:45;551.274
2015-06-01;5:02:45;669.79
2015-06-01;5:04:45;540.809
2015-06-01;5:06:45;507.66
2015-06-01;5:08:45;414.111
2015-06-01;5:10:45;460.008
2015-06-01;5:12:45;500.075
2015-06-01;5:14:45;471.666
2015-06-01;5:16:45;607.354
2015-06-01;5:18:45;473.773
2015-06-01;5:20:45;491.612
2015-06-01;5:22:45;527.887
2015-06-01;5:24:45;442.625
2015-06-01;5:26:45;430.791
2015-06-01;5:28:45;562.371
2015-06-01;5:30:45;568.059
2015-06-01;5:32:45;386.37
2015-06-01;5:34:45;414.743
2015-06-01;5:36:45;527.114
2015-06-01;5:38:45;670.001
2015-06-01;5:40:45;435.708
2015-06-01;5:42:45;435.813
2015-06-01;5:44:45;448.384
2015-06-01;5:46:45;431.283
2015-06-01;5:48:45;466.926
2015-06-01;5:50:45;479.111
2015-06-01;5:52:45;478.935
2015-06-01;5:54:45;486.626
2015-06-01;5:56:45;460.886
2015-06-01;5:58:45;398.344
2015-06-01;6:00:45;512.295
2015-06-01;6:02:45;389.987
2015-06-01;6:04:45;459.797
2015-06-01;6:06:45;406.842
2015-06-01;6:08:45;499.759
2015-06-01;6:10:45;352.518
2015-06-01;6:12:45;563.986
2015-06-01;6:14:45;407.615
2015-06-01;6:16:45;481.534
2015-06-01;6:18:45;488.943
2015-06-01;6:20:45;474.721
2015-06-01;6:22:45;422.469
2015-06-01;6:24:45;428.087
2015-06-01;6:26:45;394.868
2015-06-01;6:28:45;372.007
2015-06-01;6:30:45;379.627
2015-06-01;6:32:45;444.276
2015-06-01;6:34:45;507.028
2015-06-01;6:36:45;377.661
2015-06-01;6:38:45;409.792
2015-06-01;6:40:45;441.572
2015-06-01;6:42:45;417.482
