Date;Time;Turbidity
19.06.2014;13:42:38;196.6840973
19.06.2014;13:44:38;170.9371338
19.06.2014;13:46:38;192.1801605
19.06.2014;13:48:38;184.5553741
19.06.2014;13:50:38;395.2478027
19.06.2014;13:52:38;294.3877869
19.06.2014;13:54:38;223.1048889
19.06.2014;13:56:38;268.7117615
19.06.2014;13:58:38;206.7559204
19.06.2014;14:00:38;174.2353058
19.06.2014;14:02:38;188.9883881
19.06.2014;14:04:38;196.2585297
19.06.2014;14:06:38;187.2861023
19.06.2014;14:08:38;191.0807648
19.06.2014;14:10:38;205.2664185
19.06.2014;14:12:38;192.0028381
19.06.2014;14:14:38;204.8763123
19.06.2014;14:16:38;199.8404083
19.06.2014;14:18:38;169.0220795
19.06.2014;14:20:38;175.831192
19.06.2014;14:22:38;169.3057861
19.06.2014;14:24:38;165.6175232
19.06.2014;14:26:38;215.373703
19.06.2014;14:28:38;176.0794373
19.06.2014;14:30:38;157.3189087
19.06.2014;14:32:38;168.5965118
19.06.2014;14:34:38;167.9936218
19.06.2014;14:36:38;159.4467621
19.06.2014;14:38:38;158.2055206
19.06.2014;14:40:38;162.8158569
19.06.2014;14:42:38;156.2195282
19.06.2014;14:44:38;152.2830048
19.06.2014;14:46:38;167.5325775
19.06.2014;14:48:38;150.7935028
19.06.2014;14:50:38;170.2633209
19.06.2014;14:52:38;169.5540314
19.06.2014;14:54:38;162.2484283
19.06.2014;14:56:38;166.433197
19.06.2014;14:58:38;168.4901123
19.06.2014;15:00:38;168.7738342
19.06.2014;15:02:38;146.9633789
19.06.2014;15:04:38;186.434967
19.06.2014;15:06:38;160.4752197
19.06.2014;15:08:38;160.0851135
19.06.2014;15:10:38;167.2134094
19.06.2014;15:12:38;147.7435913
19.06.2014;15:14:38;143.8425446
19.06.2014;15:16:38;146.5378113
19.06.2014;15:18:38;162.9222412
19.06.2014;15:20:38;145.9349213
19.06.2014;15:22:38;154.020752
19.06.2014;15:24:38;156.8578796
19.06.2014;15:26:38;179.3776093
19.06.2014;15:28:38;179.8740997
19.06.2014;15:30:38;170.9371338
19.06.2014;15:32:38;176.6114044
19.06.2014;15:34:38;154.020752
19.06.2014;15:36:38;172.1783905
19.06.2014;15:38:38;157.9217987
19.06.2014;15:40:38;163.7024536
19.06.2014;15:42:38;171.1144562
19.06.2014;15:44:38;180.9380188
19.06.2014;15:46:38;205.0181732
19.06.2014;15:48:38;179.7677155
19.06.2014;15:50:38;172.674881
19.06.2014;15:52:38;182.4629822
19.06.2014;15:54:38;150.72258
19.06.2014;15:56:38;180.725235
19.06.2014;15:58:38;189.5558167
19.06.2014;16:00:38;175.1573639
19.06.2014;16:02:38;163.9506989
19.06.2014;16:04:38;172.3202362
19.06.2014;16:06:38;158.3473663
19.06.2014;16:08:38;164.4117432
19.06.2014;16:10:38;154.1271362
19.06.2014;16:12:38;199.0601959
19.06.2014;16:14:38;177.3916168
19.06.2014;16:16:38;192.1092224
19.06.2014;16:18:38;175.0509796
19.06.2014;16:20:38;203.1740417
19.06.2014;16:22:38;164.1280212
19.06.2014;16:24:38;189.6267395
19.06.2014;16:26:38;173.0649872
19.06.2014;16:28:38;197.2515259
19.06.2014;16:30:38;182.3211212
19.06.2014;16:32:38;168.0290833
19.06.2014;16:34:38;169.6249695
19.06.2014;16:36:38;189.52034
19.06.2014;16:38:38;166.1494751
19.06.2014;16:40:38;208.9546967
19.06.2014;16:42:38;170.9726105
19.06.2014;16:44:38;185.4419708
19.06.2014;16:46:38;169.3057861
19.06.2014;16:48:38;183.9170074
19.06.2014;16:50:38;167.3197937
19.06.2014;16:52:38;175.6538696
