Date;Time;Level
2016-08-14;15:20:00;10.5
2016-08-14;15:21:00;10.504
2016-08-14;15:22:00;10.504
2016-08-14;15:23:00;10.506
2016-08-14;15:24:00;10.502
2016-08-14;15:25:00;10.503
2016-08-14;15:26:00;10.503
2016-08-14;15:27:00;10.504
2016-08-14;15:28:00;10.504
2016-08-14;15:29:00;10.497
2016-08-14;15:30:00;10.495
2016-08-14;15:31:00;10.498
2016-08-14;15:32:00;10.504
2016-08-14;15:33:00;10.5
2016-08-14;15:34:00;10.503
2016-08-14;15:35:00;10.5
2016-08-14;15:36:00;10.503
2016-08-14;15:37:00;10.504
2016-08-14;15:38:00;10.498
2016-08-14;15:39:00;10.498
2016-08-14;15:40:00;10.502
2016-08-14;15:41:00;10.494
2016-08-14;15:42:00;10.5
2016-08-14;15:43:00;10.497
2016-08-14;15:44:00;10.503
2016-08-14;15:45:00;10.506
2016-08-14;15:46:00;10.504
2016-08-14;15:47:00;10.504
2016-08-14;15:48:00;10.497
2016-08-14;15:49:00;10.502
2016-08-14;15:50:00;10.502
2016-08-14;15:51:00;10.498
2016-08-14;15:52:00;10.497
2016-08-14;15:53:00;10.497
2016-08-14;15:54:00;10.5
2016-08-14;15:55:00;10.502
2016-08-14;15:56:00;10.498
2016-08-14;15:57:00;10.498
2016-08-14;15:58:00;10.495
2016-08-14;15:59:00;10.497
2016-08-14;16:00:00;10.504
2016-08-14;16:01:00;10.504
2016-08-14;16:02:00;10.497
2016-08-14;16:03:00;10.5
2016-08-14;16:04:00;10.503
2016-08-14;16:05:00;10.5
2016-08-14;16:06:00;10.498
2016-08-14;16:07:00;10.498
2016-08-14;16:08:00;10.5
2016-08-14;16:09:00;10.502
2016-08-14;16:10:00;10.502
2016-08-14;16:11:00;10.503
2016-08-14;16:12:00;10.498
2016-08-14;16:13:00;10.498
2016-08-14;16:14:00;10.502
2016-08-14;16:15:00;10.502
2016-08-14;16:16:00;10.497
2016-08-14;16:17:00;10.495
2016-08-14;16:18:00;10.5
2016-08-14;16:19:00;10.497
2016-08-14;16:20:00;10.502
2016-08-14;16:21:00;10.502
2016-08-14;16:22:00;10.502
2016-08-14;16:23:00;10.492
2016-08-14;16:24:00;10.504
2016-08-14;16:25:00;10.498
2016-08-14;16:26:00;10.503
2016-08-14;16:27:00;10.5
2016-08-14;16:28:00;10.497
2016-08-14;16:29:00;10.497
2016-08-14;16:30:00;10.497
2016-08-14;16:31:00;10.497
2016-08-14;16:32:00;10.503
2016-08-14;16:33:00;10.498
2016-08-14;16:34:00;10.497
2016-08-14;16:35:00;10.5
2016-08-14;16:36:00;10.5
2016-08-14;16:37:00;10.497
2016-08-14;16:38:00;10.497
2016-08-14;16:39:00;10.502
2016-08-14;16:40:00;10.494
2016-08-14;16:41:00;10.494
2016-08-14;16:42:00;10.495
2016-08-14;16:43:00;10.5
2016-08-14;16:44:00;10.492
2016-08-14;16:45:00;10.488
2016-08-14;16:46:00;10.5
2016-08-14;16:47:00;10.498
2016-08-14;16:48:00;10.5
2016-08-14;16:49:00;10.5
2016-08-14;16:50:00;10.5
2016-08-14;16:51:00;10.497
2016-08-14;16:52:00;10.497
2016-08-14;16:53:00;10.5
2016-08-14;16:54:00;10.494
2016-08-14;16:55:00;10.495
2016-08-14;16:56:00;10.494
2016-08-14;16:57:00;10.492
2016-08-14;16:58:00;10.495
2016-08-14;16:59:00;10.495
2016-08-14;17:00:00;10.495
2016-08-14;17:01:00;10.492
2016-08-14;17:02:00;10.494
2016-08-14;17:03:00;10.502
2016-08-14;17:04:00;10.502
2016-08-14;17:05:00;10.495
2016-08-14;17:06:00;10.494
2016-08-14;17:07:00;10.498
2016-08-14;17:08:00;10.495
2016-08-14;17:09:00;10.502
2016-08-14;17:10:00;10.494
2016-08-14;17:11:00;10.498
2016-08-14;17:12:00;10.497
2016-08-14;17:13:00;10.492
2016-08-14;17:14:00;10.492
2016-08-14;17:15:00;10.5
2016-08-14;17:16:00;10.497
2016-08-14;17:17:00;10.492
2016-08-14;17:18:00;10.498
2016-08-14;17:19:00;10.495
2016-08-14;17:20:00;10.495
2016-08-14;17:21:00;10.498
2016-08-14;17:22:00;10.498
2016-08-14;17:23:00;10.492
2016-08-14;17:24:00;10.498
2016-08-14;17:25:00;10.494
2016-08-14;17:26:00;10.495
2016-08-14;17:27:00;10.497
2016-08-14;17:28:00;10.492
2016-08-14;17:29:00;10.5
2016-08-14;17:30:00;10.498
2016-08-14;17:31:00;10.494
2016-08-14;17:32:00;10.495
2016-08-14;17:33:00;10.497
2016-08-14;17:34:00;10.498
2016-08-14;17:35:00;10.497
2016-08-14;17:36:00;10.494
2016-08-14;17:37:00;10.5
2016-08-14;17:38:00;10.497
2016-08-14;17:39:00;10.5
2016-08-14;17:40:00;10.494
2016-08-14;17:41:00;10.498
2016-08-14;17:42:00;10.491
2016-08-14;17:43:00;10.497
2016-08-14;17:44:00;10.491
2016-08-14;17:45:00;10.495
2016-08-14;17:46:00;10.494
2016-08-14;17:47:00;10.494
2016-08-14;17:48:00;10.497
2016-08-14;17:49:00;10.492
2016-08-14;17:50:00;10.5
2016-08-14;17:51:00;10.492
2016-08-14;17:52:00;10.498
2016-08-14;17:53:00;10.498
2016-08-14;17:54:00;10.5
2016-08-14;17:55:00;10.494
2016-08-14;17:56:00;10.497
2016-08-14;17:57:00;10.503
2016-08-14;17:58:00;10.504
2016-08-14;17:59:00;10.498
2016-08-14;18:00:00;10.497
2016-08-14;18:01:00;10.503
2016-08-14;18:02:00;10.498
2016-08-14;18:03:00;10.504
2016-08-14;18:04:00;10.498
2016-08-14;18:05:00;10.498
2016-08-14;18:06:00;10.502
2016-08-14;18:07:00;10.494
2016-08-14;18:08:00;10.5
2016-08-14;18:09:00;10.497
2016-08-14;18:10:00;10.502
2016-08-14;18:11:00;10.5
2016-08-14;18:12:00;10.498
2016-08-14;18:13:00;10.503
2016-08-14;18:14:00;10.497
2016-08-14;18:15:00;10.498
2016-08-14;18:16:00;10.502
2016-08-14;18:17:00;10.5
2016-08-14;18:18:00;10.498
2016-08-14;18:19:00;10.498
2016-08-14;18:20:00;10.497
2016-08-14;18:21:00;10.503
2016-08-14;18:22:00;10.495
2016-08-14;18:23:00;10.502
2016-08-14;18:24:00;10.502
2016-08-14;18:25:00;10.502
2016-08-14;18:26:00;10.502
2016-08-14;18:27:00;10.502
2016-08-14;18:28:00;10.498
2016-08-14;18:29:00;10.497
2016-08-14;18:30:00;10.502
2016-08-14;18:31:00;10.497
2016-08-14;18:32:00;10.503
2016-08-14;18:33:00;10.502
2016-08-14;18:34:00;10.495
2016-08-14;18:35:00;10.5
2016-08-14;18:36:00;10.492
2016-08-14;18:37:00;10.5
2016-08-14;18:38:00;10.502
2016-08-14;18:39:00;10.504
2016-08-14;18:40:00;10.502
2016-08-14;18:41:00;10.495
