Date (Y.M.D)	Time (H:M:S)	Turbidity	Units	External Temperature	Scale	Range
28.04.2017	1:48:56	31.8	NTU	22.8	C	0
28.04.2017	1:58:56	20.4	NTU	23.1	C	0
28.04.2017	2:08:56	20.9	NTU	23.3	C	0
28.04.2017	2:18:56	21.2	NTU	23.2	C	0
28.04.2017	2:28:56	22.7	NTU	23	C	0
28.04.2017	2:38:56	22.3	NTU	23.1	C	0
28.04.2017	2:48:56	22.7	NTU	23	C	0
28.04.2017	2:58:56	23.3	NTU	23.1	C	0
28.04.2017	3:08:56	22.1	NTU	23	C	0
28.04.2017	3:18:56	23.1	NTU	23	C	0
28.04.2017	3:28:57	23.6	NTU	23	C	0
28.04.2017	3:38:57	23.8	NTU	22.9	C	0
28.04.2017	3:48:57	23.5	NTU	23	C	0
28.04.2017	3:58:57	23.5	NTU	22.9	C	0
28.04.2017	4:08:57	23.5	NTU	23	C	0
28.04.2017	4:18:57	24.2	NTU	22.9	C	0
28.04.2017	4:28:57	24	NTU	22.9	C	0
28.04.2017	4:38:57	23.9	NTU	22.8	C	0
28.04.2017	4:48:57	23.5	NTU	22.8	C	0
28.04.2017	4:58:57	24.2	NTU	22.8	C	0
28.04.2017	5:08:57	23.5	NTU	22.8	C	0
28.04.2017	5:18:57	23.3	NTU	22.8	C	0
28.04.2017	5:28:57	23	NTU	22.8	C	0
28.04.2017	5:38:58	22.9	NTU	22.8	C	0
28.04.2017	5:48:58	23	NTU	22.8	C	0
28.04.2017	5:58:58	22.9	NTU	22.8	C	0
28.04.2017	6:08:58	23	NTU	22.9	C	0
28.04.2017	6:18:58	23.3	NTU	22.9	C	0
28.04.2017	6:28:58	23.4	NTU	22.9	C	0
28.04.2017	6:38:58	23.1	NTU	22.9	C	0
28.04.2017	6:48:58	22.9	NTU	22.9	C	0
28.04.2017	6:58:58	23	NTU	22.8	C	0
28.04.2017	7:08:58	23	NTU	22.7	C	0
28.04.2017	7:18:58	23.8	NTU	22.8	C	0
28.04.2017	7:28:58	23.1	NTU	22.9	C	0
28.04.2017	7:38:58	23.1	NTU	22.9	C	0
28.04.2017	7:48:58	23.1	NTU	22.8	C	0
28.04.2017	7:58:59	23.5	NTU	22.9	C	0
28.04.2017	8:08:59	23.1	NTU	22.8	C	0
28.04.2017	8:18:59	22.7	NTU	22.9	C	0
28.04.2017	8:28:59	23	NTU	23	C	0
28.04.2017	8:38:59	23.5	NTU	23.1	C	0
28.04.2017	8:48:59	23.8	NTU	23.1	C	0
28.04.2017	8:58:59	23.8	NTU	23.1	C	0
28.04.2017	9:08:59	23.1	NTU	23	C	0
28.04.2017	9:18:59	23.8	NTU	23.2	C	0
28.04.2017	9:28:59	22.6	NTU	23.2	C	0
28.04.2017	9:38:59	23.2	NTU	22.2	C	0
28.04.2017	9:48:59	22.5	NTU	20.3	C	0
28.04.2017	9:58:59	22.5	NTU	19.3	C	0
28.04.2017	10:09:00	22.6	NTU	19.3	C	0
28.04.2017	10:19:00	22.6	NTU	17.7	C	0
28.04.2017	10:29:00	22.4	NTU	16.6	C	0
28.04.2017	10:39:00	22.1	NTU	17.3	C	0
28.04.2017	10:49:00	22.6	NTU	18.1	C	0
28.04.2017	10:59:00	22.6	NTU	18.9	C	0
28.04.2017	11:09:00	21.7	NTU	19.6	C	0
28.04.2017	11:19:00	22.6	NTU	20	C	0
28.04.2017	11:29:00	22.7	NTU	20.4	C	0
28.04.2017	11:39:00	23.2	NTU	20.7	C	0
28.04.2017	11:49:00	23.6	NTU	20.8	C	0
28.04.2017	11:59:00	23.5	NTU	21	C	0
28.04.2017	12:09:00	23.4	NTU	21.2	C	0
28.04.2017	12:19:01	23.6	NTU	21.2	C	0
28.04.2017	12:29:01	23.4	NTU	21.3	C	0
28.04.2017	12:39:01	23.3	NTU	21.4	C	0
28.04.2017	12:49:01	23.2	NTU	21.4	C	0
28.04.2017	12:59:01	23.7	NTU	21.3	C	0
28.04.2017	13:09:01	23.3	NTU	21.4	C	0
28.04.2017	13:19:01	23.1	NTU	21.4	C	0
28.04.2017	13:29:01	23.2	NTU	21.5	C	0
28.04.2017	13:39:01	23.1	NTU	21.5	C	0
28.04.2017	13:49:01	22.9	NTU	21.5	C	0
28.04.2017	13:59:01	22.9	NTU	21.6	C	0
28.04.2017	14:09:01	22.5	NTU	21.6	C	0
28.04.2017	14:19:01	22.8	NTU	21.5	C	0
28.04.2017	14:29:01	22.8	NTU	21.7	C	0
28.04.2017	14:39:02	23.1	NTU	21.7	C	0
28.04.2017	14:49:02	22.7	NTU	21.7	C	0
28.04.2017	14:59:02	22.5	NTU	21.7	C	0
28.04.2017	15:09:02	22	NTU	21.7	C	0
28.04.2017	15:19:02	22.9	NTU	21.7	C	0
28.04.2017	15:29:02	22.7	NTU	21.7	C	0
28.04.2017	15:39:02	22.4	NTU	21.9	C	0
28.04.2017	15:49:02	22.8	NTU	21.9	C	0
28.04.2017	15:59:02	23.3	NTU	22	C	0
28.04.2017	16:09:02	22.8	NTU	22.1	C	0
28.04.2017	16:19:02	22.9	NTU	22	C	0
28.04.2017	16:29:02	29.1	NTU	22.8	C	0
28.04.2017	16:39:02	28.9	NTU	22.9	C	0
28.04.2017	16:49:03	28.9	NTU	23.2	C	0
28.04.2017	16:59:03	29	NTU	23.4	C	0
28.04.2017	17:09:03	28.9	NTU	23.5	C	0
28.04.2017	17:19:03	29	NTU	23.3	C	0
28.04.2017	17:29:03	28.1	NTU	23.1	C	0
28.04.2017	17:39:03	27.5	NTU	22.8	C	0
28.04.2017	17:49:03	27.9	NTU	22.7	C	0
28.04.2017	17:59:03	28.4	NTU	22.8	C	0
28.04.2017	18:09:03	28.7	NTU	23	C	0
28.04.2017	18:19:03	28.7	NTU	23.2	C	0
28.04.2017	18:29:03	29	NTU	23.3	C	0
28.04.2017	18:39:03	28.9	NTU	23.4	C	0
28.04.2017	18:49:03	28.7	NTU	23.6	C	0
28.04.2017	18:59:03	28.9	NTU	23.7	C	0
28.04.2017	19:09:04	28.8	NTU	23.8	C	0
28.04.2017	19:19:04	28.8	NTU	23.7	C	0
28.04.2017	19:29:04	28.7	NTU	23.9	C	0
28.04.2017	19:39:04	29	NTU	24	C	0
28.04.2017	19:49:04	28.8	NTU	24.1	C	0
28.04.2017	19:59:04	28.7	NTU	24.1	C	0
28.04.2017	20:09:04	29.1	NTU	24.1	C	0
28.04.2017	20:19:04	29.2	NTU	24.2	C	0
28.04.2017	20:29:04	29	NTU	24.2	C	0
28.04.2017	20:39:04	28.8	NTU	24.2	C	0
28.04.2017	20:49:04	28.3	NTU	24.3	C	0
28.04.2017	20:59:04	28.1	NTU	24.4	C	0
28.04.2017	21:09:04	28.3	NTU	24.3	C	0
28.04.2017	21:19:05	27.4	NTU	24.3	C	0
28.04.2017	21:29:05	26.1	NTU	24.4	C	0
28.04.2017	21:39:05	26.1	NTU	24.4	C	0
28.04.2017	21:49:05	26.7	NTU	24.3	C	0
28.04.2017	21:59:05	25.9	NTU	24.3	C	0
28.04.2017	22:09:05	25.6	NTU	24.2	C	0
28.04.2017	22:19:05	26.1	NTU	24.2	C	0
28.04.2017	22:29:05	25.8	NTU	24.2	C	0
28.04.2017	22:39:05	25	NTU	24.2	C	0
28.04.2017	22:49:05	25.2	NTU	24.2	C	0
28.04.2017	22:59:05	25.2	NTU	24.1	C	0
28.04.2017	23:09:05	25.4	NTU	24.1	C	0
28.04.2017	23:19:05	24.8	NTU	24.1	C	0
28.04.2017	23:29:05	25.1	NTU	24.1	C	0
28.04.2017	23:39:06	25.1	NTU	24.1	C	0
28.04.2017	23:49:06	25	NTU	24.1	C	0
28.04.2017	23:59:06	24.3	NTU	24.1	C	0
29.04.2017	0:09:06	24.8	NTU	24.1	C	0
29.04.2017	0:19:06	24.8	NTU	24	C	0
