Date;Time;Level
2015-04-09;9:46:49;20.00
2015-04-09;9:48:49;20.01
2015-04-09;9:50:49;20.01
2015-04-09;9:52:49;20.00
2015-04-09;9:54:49;20.00
2015-04-09;9:56:49;20.00
2015-04-09;9:58:49;20.00
2015-04-09;10:00:49;20.00
2015-04-09;10:02:49;20.00
2015-04-09;10:04:49;20.00
2015-04-09;10:06:49;20.00
2015-04-09;10:08:49;19.99
2015-04-09;10:10:49;20.00
2015-04-09;10:12:49;19.99
2015-04-09;10:14:49;19.99
2015-04-09;10:16:49;20.00
2015-04-09;10:18:49;19.99
2015-04-09;10:20:49;19.99
2015-04-09;10:22:49;19.99
2015-04-09;10:24:49;19.99
2015-04-09;10:26:49;19.99
2015-04-09;10:28:49;19.99
2015-04-09;10:30:49;20.00
2015-04-09;10:32:49;19.99
2015-04-09;10:34:49;19.99
2015-04-09;10:36:49;19.99
2015-04-09;10:38:49;19.99
2015-04-09;10:40:49;19.99
2015-04-09;10:42:49;19.99
2015-04-09;10:44:49;19.99
2015-04-09;10:46:49;19.99
2015-04-09;10:48:49;19.99
2015-04-09;10:50:49;19.99
2015-04-09;10:52:49;19.99
2015-04-09;10:54:49;19.99
2015-04-09;10:56:49;19.98
2015-04-09;10:58:49;19.98
2015-04-09;11:00:49;19.98
2015-04-09;11:02:49;19.98
2015-04-09;11:04:49;19.99
2015-04-09;11:06:49;19.98
2015-04-09;11:08:49;19.98
2015-04-09;11:10:49;19.98
2015-04-09;11:12:49;19.98
2015-04-09;11:14:49;19.98
2015-04-09;11:16:49;19.98
2015-04-09;11:18:49;19.99
2015-04-09;11:20:49;19.99
2015-04-09;11:22:49;19.98
2015-04-09;11:24:49;19.99
2015-04-09;11:26:49;19.99
2015-04-09;11:28:49;19.98
2015-04-09;11:30:49;19.98
2015-04-09;11:32:49;19.98
2015-04-09;11:34:49;19.98
2015-04-09;11:36:49;19.98
2015-04-09;11:38:49;19.98
2015-04-09;11:40:49;19.98
2015-04-09;11:42:49;19.98
2015-04-09;11:44:49;19.98
2015-04-09;11:46:49;19.98
2015-04-09;11:48:49;19.98
2015-04-09;11:50:49;19.98
2015-04-09;11:52:49;19.98
2015-04-09;11:54:49;19.98
2015-04-09;11:56:49;19.98
2015-04-09;11:58:49;19.98
2015-04-09;12:00:49;19.98
2015-04-09;12:02:49;19.98
2015-04-09;12:04:49;19.99
2015-04-09;12:06:49;19.98
2015-04-09;12:08:49;19.99
2015-04-09;12:10:49;19.99
2015-04-09;12:12:49;19.99
2015-04-09;12:14:49;19.99
2015-04-09;12:16:49;19.99
2015-04-09;12:18:49;19.99
2015-04-09;12:20:49;19.99
2015-04-09;12:22:49;19.99
2015-04-09;12:24:49;19.99
2015-04-09;12:26:49;19.99
2015-04-09;12:28:49;19.99
2015-04-09;12:30:49;19.99
2015-04-09;12:32:49;19.99
2015-04-09;12:34:49;19.99
2015-04-09;12:36:49;19.99
2015-04-09;12:38:49;19.99
2015-04-09;12:40:49;19.99
2015-04-09;12:42:49;19.99
2015-04-09;12:44:49;19.99
2015-04-09;12:46:49;19.99
2015-04-09;12:48:49;19.99
2015-04-09;12:50:49;19.99
2015-04-09;12:52:49;19.99
2015-04-09;12:54:49;20.00
2015-04-09;12:56:49;20.00
2015-04-09;12:58:49;20.00
2015-04-09;13:00:49;20.00
2015-04-09;13:02:49;20.00
2015-04-09;13:04:49;20.00
2015-04-09;13:06:49;20.00
2015-04-09;13:08:49;20.00
2015-04-09;13:10:49;20.00
2015-04-09;13:12:49;20.00
2015-04-09;13:14:49;20.00
2015-04-09;13:16:49;19.99
2015-04-09;13:18:49;19.99
2015-04-09;13:20:49;19.99
2015-04-09;13:22:49;20.00
2015-04-09;13:24:49;20.00
2015-04-09;13:26:49;19.99
2015-04-09;13:28:49;20.00
2015-04-09;13:30:49;19.99
2015-04-09;13:32:49;20.00
2015-04-09;13:34:49;20.00
2015-04-09;13:36:49;20.00
2015-04-09;13:38:49;20.00
2015-04-09;13:40:49;20.00
2015-04-09;13:42:49;19.99
2015-04-09;13:44:49;19.99
2015-04-09;13:46:49;20.00
2015-04-09;13:48:49;19.99
2015-04-09;13:50:49;19.99
2015-04-09;13:52:49;19.99
2015-04-09;13:54:49;19.99
2015-04-09;13:56:49;19.99
2015-04-09;13:58:49;19.99
2015-04-09;14:00:49;19.99
2015-04-09;14:02:49;19.99
2015-04-09;14:04:49;19.99
2015-04-09;14:06:49;19.99
2015-04-09;14:08:49;19.99
2015-04-09;14:10:49;19.99
2015-04-09;14:12:49;19.99
2015-04-09;14:14:49;19.99
2015-04-09;14:16:49;19.99
2015-04-09;14:18:49;19.99
2015-04-09;14:20:49;19.99
2015-04-09;14:22:49;19.99
2015-04-09;14:24:49;19.99
2015-04-09;14:26:49;20.00
2015-04-09;14:28:49;20.00
2015-04-09;14:30:49;20.00
2015-04-09;14:32:49;20.01
2015-04-09;14:34:49;20.00
2015-04-09;14:36:49;20.00
2015-04-09;14:38:49;20.00
2015-04-09;14:40:49;20.00
2015-04-09;14:42:49;20.00
2015-04-09;14:44:49;20.00
2015-04-09;14:46:49;20.00
2015-04-09;14:48:49;20.00
2015-04-09;14:50:49;19.99
2015-04-09;14:52:49;19.99
2015-04-09;14:54:49;19.99
2015-04-09;14:56:49;19.99
2015-04-09;14:58:49;19.99
2015-04-09;15:00:49;19.99
2015-04-09;15:02:49;20.00
2015-04-09;15:04:49;20.00
2015-04-09;15:06:49;20.00
2015-04-09;15:08:49;20.00
2015-04-09;15:10:49;20.00
2015-04-09;15:12:49;20.00
2015-04-09;15:14:49;19.99
2015-04-09;15:16:49;19.99
2015-04-09;15:18:49;19.99
2015-04-09;15:20:49;19.99
2015-04-09;15:22:49;19.99
2015-04-09;15:24:49;20.00
2015-04-09;15:26:49;20.00
2015-04-09;15:28:49;19.99
2015-04-09;15:30:49;20.00
2015-04-09;15:32:49;19.99
2015-04-09;15:34:49;19.99
2015-04-09;15:36:49;19.99
2015-04-09;15:38:49;20.00
2015-04-09;15:40:49;20.00
2015-04-09;15:42:49;20.00
2015-04-09;15:44:49;19.99
2015-04-09;15:46:49;19.99
2015-04-09;15:48:49;20.00
2015-04-09;15:50:49;20.00
2015-04-09;15:52:49;20.00
2015-04-09;15:54:49;20.00
2015-04-09;15:56:49;20.00
2015-04-09;15:58:49;20.01
2015-04-09;16:00:49;20.01
2015-04-09;16:02:49;20.00
2015-04-09;16:04:49;20.01
