Date;Time;Turbidity
2015-04-09;9:46:49;21.03
2015-04-09;9:48:49;22.45
2015-04-09;9:50:49;20.11
2015-04-09;9:52:49;19.93
2015-04-09;9:54:49;21.60
2015-04-09;9:56:49;22.38
2015-04-09;9:58:49;25.32
2015-04-09;10:00:49;24.75
2015-04-09;10:02:49;21.24
2015-04-09;10:04:49;23.51
2015-04-09;10:06:49;26.07
2015-04-09;10:08:49;25.92
2015-04-09;10:10:49;22.38
2015-04-09;10:12:49;25.64
2015-04-09;10:14:49;23.80
2015-04-09;10:16:49;26.88
2015-04-09;10:18:49;26.10
2015-04-09;10:20:49;23.65
2015-04-09;10:22:49;25.39
2015-04-09;10:24:49;27.59
2015-04-09;10:26:49;33.19
2015-04-09;10:28:49;37.56
2015-04-09;10:30:49;31.53
2015-04-09;10:32:49;34.40
2015-04-09;10:34:49;29.05
2015-04-09;10:36:49;33.58
2015-04-09;10:38:49;34.15
2015-04-09;10:40:49;30.22
2015-04-09;10:42:49;28.12
2015-04-09;10:44:49;35.93
2015-04-09;10:46:49;31.21
2015-04-09;10:48:49;31.53
2015-04-09;10:50:49;29.83
2015-04-09;10:52:49;28.73
2015-04-09;10:54:49;26.42
2015-04-09;10:56:49;28.26
2015-04-09;10:58:49;28.48
2015-04-09;11:00:49;26.42
2015-04-09;11:02:49;27.31
2015-04-09;11:04:49;30.61
2015-04-09;11:06:49;39.33
2015-04-09;11:08:49;41.32
2015-04-09;11:10:49;38.16
2015-04-09;11:12:49;38.87
2015-04-09;11:14:49;39.12
2015-04-09;11:16:49;35.93
2015-04-09;11:18:49;30.78
2015-04-09;11:20:49;43.94
2015-04-09;11:22:49;44.61
2015-04-09;11:24:49;43.90
2015-04-09;11:26:49;44.05
2015-04-09;11:28:49;49.26
2015-04-09;11:30:49;48.23
2015-04-09;11:32:49;53.34
2015-04-09;11:34:49;45.82
2015-04-09;11:36:49;46.14
2015-04-09;11:38:49;58.44
2015-04-09;11:40:49;63.94
2015-04-09;11:42:49;58.98
2015-04-09;11:44:49;54.65
2015-04-09;11:46:49;83.80
2015-04-09;11:48:49;75.68
2015-04-09;11:50:49;80.47
2015-04-09;11:52:49;76.71
2015-04-09;11:54:49;78.34
2015-04-09;11:56:49;85.11
2015-04-09;11:58:49;70.40
2015-04-09;12:00:49;67.38
2015-04-09;12:02:49;63.34
2015-04-09;12:04:49;66.89
2015-04-09;12:06:49;62.81
2015-04-09;12:08:49;72.99
2015-04-09;12:10:49;65.18
2015-04-09;12:12:49;62.63
2015-04-09;12:14:49;67.10
2015-04-09;12:16:49;66.89
2015-04-09;12:18:49;66.39
2015-04-09;12:20:49;62.17
2015-04-09;12:22:49;67.35
2015-04-09;12:24:49;60.50
2015-04-09;12:26:49;63.45
2015-04-09;12:28:49;59.12
2015-04-09;12:30:49;65.75
2015-04-09;12:32:49;59.79
2015-04-09;12:34:49;74.69
2015-04-09;12:36:49;63.87
2015-04-09;12:38:49;63.91
2015-04-09;12:40:49;62.88
2015-04-09;12:42:49;59.33
2015-04-09;12:44:49;77.88
2015-04-09;12:46:49;80.01
2015-04-09;12:48:49;84.01
2015-04-09;12:50:49;81.14
2015-04-09;12:52:49;82.35
2015-04-09;12:54:49;83.09
2015-04-09;12:56:49;95.61
2015-04-09;12:58:49;95.82
2015-04-09;13:00:49;84.65
2015-04-09;13:02:49;96.46
2015-04-09;13:04:49;85.26
2015-04-09;13:06:49;89.23
2015-04-09;13:08:49;90.68
2015-04-09;13:10:49;93.87
2015-04-09;13:12:49;98.91
2015-04-09;13:14:49;77.74
2015-04-09;13:16:49;92.49
2015-04-09;13:18:49;81.85
2015-04-09;13:20:49;89.48
2015-04-09;13:22:49;113.13
2015-04-09;13:24:49;114.62
2015-04-09;13:26:49;101.00
2015-04-09;13:28:49;104.51
2015-04-09;13:30:49;103.34
2015-04-09;13:32:49;94.97
2015-04-09;13:34:49;92.17
2015-04-09;13:36:49;95.19
2015-04-09;13:38:49;94.26
2015-04-09;13:40:49;88.59
2015-04-09;13:42:49;88.84
2015-04-09;13:44:49;92.10
2015-04-09;13:46:49;92.81
2015-04-09;13:48:49;99.83
2015-04-09;13:50:49;118.77
2015-04-09;13:52:49;97.81
2015-04-09;13:54:49;110.26
2015-04-09;13:56:49;112.24
2015-04-09;13:58:49;116.54
2015-04-09;14:00:49;110.36
2015-04-09;14:02:49;102.28
2015-04-09;14:04:49;116.18
2015-04-09;14:06:49;137.92
2015-04-09;14:08:49;108.95
2015-04-09;14:10:49;117.00
2015-04-09;14:12:49;126.93
2015-04-09;14:14:49;126.82
2015-04-09;14:16:49;117.17
2015-04-09;14:18:49;117.63
2015-04-09;14:20:49;98.94
2015-04-09;14:22:49;109.62
2015-04-09;14:24:49;120.83
2015-04-09;14:26:49;126.04
2015-04-09;14:28:49;128.38
2015-04-09;14:30:49;127.49
2015-04-09;14:32:49;123.06
2015-04-09;14:34:49;120.97
2015-04-09;14:36:49;121.39
2015-04-09;14:38:49;122.95
2015-04-09;14:40:49;114.87
2015-04-09;14:42:49;123.84
2015-04-09;14:44:49;140.40
2015-04-09;14:46:49;135.65
2015-04-09;14:48:49;137.60
2015-04-09;14:50:49;127.99
2015-04-09;14:52:49;124.94
2015-04-09;14:54:49;123.45
2015-04-09;14:56:49;121.57
2015-04-09;14:58:49;119.94
2015-04-09;15:00:49;127.95
2015-04-09;15:02:49;126.61
2015-04-09;15:04:49;143.59
2015-04-09;15:06:49;149.30
2015-04-09;15:08:49;143.31
2015-04-09;15:10:49;138.45
2015-04-09;15:12:49;128.91
2015-04-09;15:14:49;131.08
